id,name,set
423808,Aegis Automaton,AER
423668,Aerial Modification,AER
423669,Aeronaut Admiral,AER
423743,Aether Chaser,AER
423769,Aether Herder,AER
423670,Aether Inspector,AER
423718,Aether Poisoner,AER
423693,Aether Swooper,AER
423671,Aethergeode Miner,AER
423809,Aethersphere Harvester,AER
423770,Aetherstream Leopard,AER
423694,Aethertide Whale,AER
423771,Aetherwind Basker,AER
423772,Aid from the Cowl,AER
423672,Airdrop Aeronauts,AER
423794,Ajani Unyielding,AER
425692,"Ajani, Valiant Protector",AER
425695,Ajani's Aid,AER
425694,Ajani's Comrade,AER
423673,Alley Evasion,AER
423719,Alley Strangler,AER
423674,Audacious Infiltrator,AER
423810,Augmenting Automaton,AER
423695,"Baral, Chief of Compliance",AER
423696,Baral's Expertise,AER
423811,Barricade Breaker,AER
423675,Bastion Enforcer,AER
423697,Bastion Inventor,AER
423720,Battle at the Bridge,AER
423676,Call for Unity,AER
423677,Caught in the Brights,AER
423744,Chandra's Revolution,AER
423812,Cogwork Assembler,AER
423678,Consulate Crackdown,AER
423813,Consulate Dreadnought,AER
423814,Consulate Turret,AER
423679,Conviction,AER
423680,Countless Gears Renegade,AER
423815,Crackdown Construct,AER
423721,Cruel Finality,AER
423816,Daredevil Dragster,AER
423722,Daring Demolition,AER
423795,Dark Intimations,AER
423681,Dawnfeather Eagle,AER
423682,Deadeye Harpooner,AER
423683,Decommission,AER
423723,Defiant Salvager,AER
423684,Deft Dismissal,AER
423745,Destructive Tampering,AER
423698,Disallow,AER
423699,Dispersal Technician,AER
423773,Druid of the Cowl,AER
423700,Efficient Construction,AER
423746,Embraal Gear-Smasher,AER
423747,Enraged Giant,AER
423685,Exquisite Archangel,AER
423724,Fatal Push,AER
423686,Felidar Guardian,AER
423725,Fen Hauler,AER
423817,Filigree Crawler,AER
423818,Foundry Assembler,AER
423726,Foundry Hornet,AER
423727,Fourth Bridge Prowler,AER
423748,Freejam Regent,AER
423749,Frontline Rebel,AER
423687,Ghirapur Osprey,AER
423728,Gifted Aetherborn,AER
423729,Glint-Sleeve Siphoner,AER
423819,Gonti's Aether Heart,AER
423730,Gonti's Machinations,AER
423774,Greenbelt Rampager,AER
423775,Greenwheel Liberator,AER
423750,Gremlin Infestation,AER
423820,Heart of Kiran,AER
423731,Herald of Anguish,AER
423776,Heroic Intervention,AER
423777,Hidden Herbalists,AER
423796,Hidden Stockpile,AER
423778,Highspire Infusion,AER
423701,Hinterland Drake,AER
423821,Hope of Ghirapur,AER
423751,Hungry Flames,AER
423702,Ice Over,AER
423703,Illusionist's Stratagem,AER
423822,Implement of Combustion,AER
423823,Implement of Examination,AER
423824,Implement of Ferocity,AER
423825,Implement of Improvement,AER
423826,Implement of Malice,AER
423752,Indomitable Creativity,AER
425693,Inspiring Roar,AER
423827,Inspiring Statuary,AER
423753,Invigorated Rampage,AER
423732,Ironclad Revolutionary,AER
423828,Irontread Crusher,AER
423754,"Kari Zev, Skyship Raider",AER
423755,Kari Zev's Expertise,AER
423756,Lathnu Sailback,AER
423704,Leave in the Dust,AER
423779,Lifecraft Awakening,AER
423780,Lifecraft Cavalry,AER
423829,Lifecrafter's Bestiary,AER
423781,Lifecrafter's Gift,AER
423757,Lightning Runner,AER
423782,Maulfist Revolutionary,AER
423797,Maverick Thopterist,AER
423705,Mechanized Production,AER
423830,Merchant's Dockhand,AER
423831,Metallic Mimic,AER
423706,Metallic Rebuke,AER
423733,Midnight Entourage,AER
423832,Mobile Garrison,AER
423783,Monstrous Onslaught,AER
423784,Narnam Renegade,AER
423785,Natural Obsolescence,AER
423707,Negate,AER
423734,Night Market Aeronaut,AER
423833,Night Market Guard,AER
423798,Oath of Ajani,AER
423834,Ornithopter,AER
423799,Outland Boar,AER
423835,Pacification Array,AER
423836,Paradox Engine,AER
423837,Peacewalker Colossus,AER
423786,Peema Aether-Seer,AER
425699,Pendulum of Patterns,AER
423735,Perilous Predicament,AER
423758,Pia's Revolution,AER
423838,Planar Bridge,AER
423759,Precise Strike,AER
423787,Prey Upon,AER
423839,Prizefighter Construct,AER
423760,Quicksmith Rebel,AER
423708,Quicksmith Spy,AER
423761,Ravenous Intruder,AER
423762,Reckless Racer,AER
423763,Release the Gremlins,AER
423840,Renegade Map,AER
423800,Renegade Rallier,AER
423801,Renegade Wheelsmith,AER
423736,Renegade's Getaway,AER
423841,Reservoir Walker,AER
423737,Resourceful Return,AER
423688,Restoration Specialist,AER
423709,Reverse Engineer,AER
423788,Ridgescale Tusker,AER
423789,"Rishkar, Peema Renegade",AER
423790,Rishkar's Expertise,AER
423802,Rogue Refiner,AER
423710,Salvage Scuttler,AER
423842,Scrap Trawler,AER
423764,Scrapper Champion,AER
423791,Scrounging Bandar,AER
423738,Secret Salvage,AER
423843,Servo Schematic,AER
423711,Shielded Aether Thief,AER
423712,Shipwreck Moray,AER
423765,Shock,AER
423766,Siege Modification,AER
423792,Silkweaver Elite,AER
423713,Skyship Plunderer,AER
423739,Sly Requisitioner,AER
423689,Solemn Recruit,AER
423851,Spire of Industry,AER
423803,Spire Patrol,AER
423690,"Sram, Senior Edificer",AER
423691,Sram's Expertise,AER
425701,Submerged Boneyard,AER
423767,Sweatworks Brawler,AER
423714,Take into Custody,AER
423804,Tezzeret the Schemer,AER
425697,"Tezzeret, Master of Metal",AER
425698,Tezzeret's Betrayal,AER
425700,Tezzeret's Simulacrum,AER
423805,Tezzeret's Touch,AER
423692,Thopter Arrest,AER
425696,Tranquil Expanse,AER
423844,Treasure Keeper,AER
423715,Trophy Mage,AER
423793,Unbridled Growth,AER
423845,Universal Solvent,AER
423846,Untethered Express,AER
423740,Vengeful Rebel,AER
423847,Verdant Automaton,AER
423848,Walking Ballista,AER
423849,Watchful Automaton,AER
423850,Welder Automaton,AER
423806,Weldfast Engineer,AER
423716,Whir of Invention,AER
423807,Winding Constrictor,AER
423717,Wind-Kin Raiders,AER
423768,Wrangle,AER
423741,"Yahenni, Undying Partisan",AER
423742,Yahenni's Expertise,AER
179538,Anathemancer,ARB
179597,Architects of Will,ARB
185054,Ardent Plea,ARB
189652,Arsenal Thresher,ARB
180608,Aven Mimeomancer,ARB
188963,Bant Sojourners,ARB
188975,Bant Sureblade,ARB
179545,Behemoth Sledge,ARB
185057,Bituminous Blast,ARB
179406,Blitz Hellion,ARB
185053,Bloodbraid Elf,ARB
179607,Brainbite,ARB
161291,Breath of Malfegor,ARB
185064,Captured Sunlight,ARB
180604,Cerodon Yearling,ARB
189653,Cloven Casting,ARB
179624,Colossal Might,ARB
179621,Crystallization,ARB
180614,Dauntless Escort,ARB
179543,Deadshot Minotaur,ARB
180622,Deathbringer Thoctar,ARB
189646,Defiler of Souls,ARB
185062,Demonic Dread,ARB
180311,Demonspine Whip,ARB
185045,Deny Reality,ARB
179544,Double Negative,ARB
180616,Dragon Appeasement,ARB
189648,Dragon Broodmother,ARB
179587,Drastic Revelation,ARB
180597,Enigma Sphinx,ARB
185047,Enlisted Wurm,ARB
188967,Esper Sojourners,ARB
188968,Esper Stormblade,ARB
179542,Ethercaste Knight,ARB
179573,Etherium Abomination,ARB
179578,Ethersworn Shieldmage,ARB
179618,Etherwrought Page,ARB
183005,Fieldmist Borderpost,ARB
179562,Fight to the Death,ARB
188965,Filigree Angel,ARB
180609,Finest Hour,ARB
188974,Firewild Borderpost,ARB
179605,Flurry of Wings,ARB
179598,Giant Ambush Beetle,ARB
179576,Glassdust Hulk,ARB
179611,Glory of Warfare,ARB
189654,Gloryscale Viashino,ARB
183994,Godtracker of Jund,ARB
179561,Gorger Wurm,ARB
188976,Grixis Grimblade,ARB
188972,Grixis Sojourners,ARB
189647,Grizzled Leotau,ARB
175109,Identity Crisis,ARB
144276,Igneous Pouncer,ARB
179596,Illusory Demon,ARB
179568,Intimidation Bolt,ARB
180605,"Jenara, Asura of War",ARB
144286,Jhessian Zombies,ARB
188973,Jund Hackblade,ARB
188966,Jund Sojourners,ARB
180587,"Karrthus, Tyrant of Jund",ARB
179602,Kathari Bomber,ARB
185060,Kathari Remnant,ARB
189642,Knight of New Alara,ARB
180624,Knotvine Paladin,ARB
180612,Lavalanche,ARB
180606,Leonin Armorguard,ARB
179555,Lich Lord of Unx,ARB
180617,Lightning Reaver,ARB
177922,Lord of Extinction,ARB
179633,Lorescale Coatl,ARB
180625,Madrush Cyclops,ARB
179540,Maelstrom Nexus,ARB
180613,Maelstrom Pulse,ARB
179567,Mage Slayer,ARB
179591,Magefire Wings,ARB
179585,Marisi's Twinclaws,ARB
183014,Marrow Chomper,ARB
179584,Mask of Riddles,ARB
180620,Mayael's Aria,ARB
179547,Meddling Mage,ARB
189644,Messenger Falcons,ARB
179599,Mind Funeral,ARB
161276,Mistvein Borderpost,ARB
185051,Monstrous Carabid,ARB
179614,Morbid Bloom,ARB
179548,Mycoid Shepherd,ARB
188969,Naya Hushblade,ARB
188970,Naya Sojourners,ARB
183011,Necromancer's Covenant,ARB
188962,Nemesis of Reason,ARB
179580,Nulltread Gargantuan,ARB
183007,Offering to Asha,ARB
144249,Pale Recluse,ARB
180602,Predatory Advantage,ARB
179612,Putrid Leech,ARB
179556,Qasali Pridemage,ARB
175256,Reborn Hope,ARB
147530,Retaliator Griffin,ARB
189650,Rhox Brute,ARB
180601,Sages of the Anima,ARB
144282,Sanctum Plowbeast,ARB
179553,Sangrite Backlash,ARB
179623,Sanity Gnawers,ARB
180607,Sen Triplets,ARB
179594,Sewn-Eye Drake,ARB
185063,Shield of the Righteous,ARB
179560,Sigil Captain,ARB
179630,Sigil of the Nayan Gods,ARB
159688,Sigiled Behemoth,ARB
179574,Singe-Mind Ogre,ARB
179569,Skyclaw Thrash,ARB
188971,Slave of Bolas,ARB
183008,Soul Manipulation,ARB
179409,Soulquake,ARB
180600,Sovereigns of Lost Alara,ARB
180611,Spellbound Dragon,ARB
179551,Spellbreaker Behemoth,ARB
189641,Sphinx of the Steel Wind,ARB
179534,Stormcaller's Boon,ARB
179589,Stun Sniper,ARB
180618,Tainted Sigil,ARB
179537,Talon Trooper,ARB
176449,Terminate,ARB
183017,Thopter Foundry,ARB
180596,Thought Hemorrhage,ARB
180595,Thraximundar,ARB
189649,Time Sieve,ARB
161292,Trace of Abundance,ARB
138217,Unbender Tine,ARB
189651,"Unscythe, Killer of Kings",ARB
189645,"Uril, the Miststalker",ARB
144260,Valley Rannet,ARB
179592,Vectis Dominator,ARB
183010,Vedalken Ghoul,ARB
180619,Vedalken Heretic,ARB
189640,Veinfire Borderpost,ARB
179628,Vengeful Rebirth,ARB
185056,Violent Outburst,ARB
179535,Vithian Renegades,ARB
179601,Wall of Denial,ARB
180592,Wargate,ARB
179590,Wildfield Borderpost,ARB
179603,Winged Coatl,ARB
179575,Zealous Persecution,ARB
3041,Aesthir Glider,AL
3160,Agent of Stromgald,AL
3098,Arcane Denial,AL
3042,Ashnod's Cylix,AL
3044,Astrolabe,AL
3100,Awesome Presence,AL
3066,Balduvian Dead,AL
3161,Balduvian Horde,AL
3231,Balduvian Trading Post,AL
3163,Balduvian War-Makers,AL
3102,Benthic Explorers,AL
3165,Bestial Fury,AL
3128,Bounty of the Hunt,AL
3103,Browse,AL
3166,Burnout,AL
3191,Carrier Pigeons,AL
3068,Casting of Bones,AL
3167,Chaos Harlequin,AL
3069,Contagion,AL
3130,Deadly Insect,AL
3168,Death Spark,AL
3104,Diminishing Returns,AL
3070,Diseased Vermin,AL
3071,Dystopia,AL
3131,Elvish Bard,AL
3133,Elvish Ranger,AL
3134,Elvish Spirit Guide,AL
3221,Energy Arc,AL
3170,Enslaved Scout,AL
3193,Errand of Duty,AL
3194,Exile,AL
3106,False Demise,AL
3072,Fatal Lore,AL
3074,Feast or Famine,AL
3076,Fevered Strength,AL
3045,Floodwater Dam,AL
3107,Force of Will,AL
3109,Foresight,AL
3136,Fyndhorn Druid,AL
3137,Gargantuan Gorilla,AL
3139,Gift of the Woods,AL
3141,Gorilla Berserkers,AL
3143,Gorilla Chieftain,AL
3172,Gorilla Shaman,AL
3174,Gorilla War Cry,AL
